PARTITAIVA;FARMACO;QUANTITA;DATA_E_ORA
01272100437;ZOLMITRIPTAN DOC GENERICI;1;2020-03-01 00:01:11
02715180424;CEFTRIAXONE SUN;2;2020-03-01 00:02:46
02841830421;AZATIOPRINA ASPEN;1;2020-03-01 00:03:21
00886370428;ESCITALOPRAM AUROBINDO;2;2020-03-01 00:04:25
01148790429;ZOFRAN;4;2020-03-01 00:05:23
00135200426;NIGLINA;5;2020-03-01 00:06:00
00935300426;OLANZAPINA ZENTIVA;2;2020-03-01 00:06:33
02681060428;DIAXONE;5;2020-03-01 00:10:16
00179910427;CEFTAZIDIMA ALMUS;2;2020-03-01 00:10:40
00681310421;XELODA;5;2020-03-01 00:13:30
02803660428;ELAZOR;3;2020-03-01 00:15:57
02550040428;QUARK;4;2020-03-01 00:16:38
00035600428;BASSADO;3;2020-03-01 00:17:59
02174000428;RASAGILINA SANDOZ;4;2020-03-01 00:19:01
00066360421;SEVELAMER EG;2;2020-03-01 00:23:20
02834420420;LOSARTAN DOC GENERICI;5;2020-03-01 00:23:50
00160090429;CORBILTA;5;2020-03-01 00:24:32
00887830420;TAVACOR;2;2020-03-01 00:25:06
01577000423;UROFLUS;3;2020-03-01 00:26:43
02421410420;AMOXICILLINA ZENTIVA ITALIA;2;2020-03-01 00:27:41
01977970431;ATENOLOLO CLORTALIDONE DOC GENERICI;2;2020-03-01 00:27:54
02412410421;LEVOFLOXACINA SANDOZ;1;2020-03-01 00:29:13
00168260420;VENLAFAXINA TEVA;2;2020-03-01 00:29:35
00936580422;PRASTEROL;1;2020-03-01 00:30:50
02284270424;CITALOPRAM HEXAL;4;2020-03-01 00:31:13
02404410421;ELAN;3;2020-03-01 00:31:56
02516810427;LERCANIDIPINA SUN;5;2020-03-01 00:33:30
02583700428;FEBUXOSTAT TEVA;1;2020-03-01 00:33:46
01141950426;NEBIVOLOLO ZENTIVA;4;2020-03-01 00:35:54
00372590422;ZANTIPRES;1;2020-03-01 00:36:29
02537240422;ORELOX;2;2020-03-01 00:36:34
01304610429;FEBUXOSTAT PENSA;5;2020-03-01 00:36:54
01177630241;DIBASE;2;2020-03-01 00:37:23
02458200421;EBASTINA EG;3;2020-03-01 00:39:18
00992280420;KRUPLUS;1;2020-03-01 00:39:44
01168600425;LEVIORINIL;5;2020-03-01 00:40:37
00168260420;OMEGA 3 BOUTY;5;2020-03-01 00:41:38
02206830420;GEMIFLUX;3;2020-03-01 00:44:35
01360590424;LEVETIRACETAM ACTAVIS GROUP;1;2020-03-01 00:45:06
02220640425;AMISULPRIDE MYLAN;1;2020-03-01 00:46:09
02174750428;AMOXICILLINA E ACIDO CLAVULANICO SUN PHARMA;3;2020-03-01 00:48:09
00886370428;CEFTRIAXONE ALTER;5;2020-03-01 00:50:18
02502470426;DULOXETINA AUROBINDO;2;2020-03-01 00:50:51
01360590424;DAPAROX;4;2020-03-01 00:50:59
00660470428;CLARITROL;5;2020-03-01 00:52:35
02266660428;TRISSIL;5;2020-03-01 00:54:52
02407620422;DESLORATADINA AUROBINDO ITALIA;5;2020-03-01 00:55:35
02323720421;GENERFLON;3;2020-03-01 00:57:25
00162290423;CIPROFLOXACINA ABC;2;2020-03-01 00:57:30
00205200421;LEZIMIS;2;2020-03-01 00:57:36
02174000428;SOTRIZOL;1;2020-03-01 00:58:46
01492540420;NITISINONE DIPHARMA;4;2020-03-01 01:00:21
01591190424;LISINOPRIL IDROCLOROTIAZIDE EG;5;2020-03-01 01:00:42
02402820423;ENALAPRIL E IDROCLOROTIAZIDE DOC GENERICI;2;2020-03-01 01:02:04
01470350669;LISINOPRIL PENSA;4;2020-03-01 01:02:09
01360590424;PRADIF;3;2020-03-01 01:03:32
00516270428;VENLAFAXINA EG;2;2020-03-01 01:03:40
00735730426;TORASEMIDE HEXAL;2;2020-03-01 01:04:55
00446160426;TROZAMIL;3;2020-03-01 01:05:23
02772230427;AMOXICILLINA E ACIDO CLAVULANICO SANDOZ GMBH;2;2020-03-01 01:05:31
02809570423;EBIXA;5;2020-03-01 01:06:21
00681310421;LEVETIRACETAM ACCORD HEALTHCARE;5;2020-03-01 01:07:26
01541420426;CLARITROMICINA PENSA;1;2020-03-01 01:09:57
02401720426;EZORAN;1;2020-03-01 01:13:02
02365710421;GLICONORM;3;2020-03-01 01:14:09
00008080426;CITALOPRAM HEXAL;5;2020-03-01 01:15:39
02722250426;EPLERENONE DOC GENERICI;3;2020-03-01 01:16:07
00171160427;ACICLOVIR PENSA;2;2020-03-01 01:17:33
01422920429;FOSINOPRIL IDROCLOROTIAZIDE TEVA;3;2020-03-01 01:18:33
00714980422;ENALAPRIL PENSA;5;2020-03-01 01:20:33
01008100420;LUKASM;3;2020-03-01 01:21:43
00838020428;FINASTERIDE ALTER;1;2020-03-01 01:21:56
02809180421;BICALUTAMIDE TECNIGEN;5;2020-03-01 01:22:08
00045190428;ACIDO ALENDRONICO ALTER;4;2020-03-01 01:22:13
00176190429;PERINDOPRIL TEVA ITALIA;5;2020-03-01 01:22:47
02364740429;CORIXIL;2;2020-03-01 01:28:54
