PARTITAIVA;FARMACO;QUANTITA;DATA_E_ORA
00128350428;EXEMESTANE ACTAVIS;3;2020-03-15 00:00:08
00045190428;EXEMESTANE EG;4;2020-03-15 00:00:19
01360590424;DONEPEZIL ZENTIVA;4;2020-03-15 00:00:34
02346020429;SOTRIZOL;2;2020-03-15 00:00:40
00704740422;RAMIPRIL SUN;3;2020-03-15 00:02:02
01541420426;TASDURIT;5;2020-03-15 00:02:46
02542140427;ETORICOXIB PENSA;5;2020-03-15 00:02:46
02681060428;PANTOPRAZOLO ZENTIVA;5;2020-03-15 00:02:52
00817700420;AMOXICILLINA SANDOZ GMBH;4;2020-03-15 00:03:15
02389050424;FERRO GLUCONATO;4;2020-03-15 00:03:24
02286900424;RILUZOLO MYLAN;4;2020-03-15 00:03:38
00179910427;ZITRONOVA;2;2020-03-15 00:03:53
00714980422;ORUDIS;2;2020-03-15 00:04:05
01470350669;HEADZOL;4;2020-03-15 00:04:25
02536680420;ROFIXDOL;4;2020-03-15 00:04:46
01327200422;EFRIDOL;5;2020-03-15 00:04:50
02269580425;LOSARTAN EUROGENERICI;4;2020-03-15 00:05:00
00681310421;LANSOPRAZOLO FG;3;2020-03-15 00:05:01
01054480429;BOTAM;1;2020-03-15 00:05:14
02484020421;PROCIFLOR;3;2020-03-15 00:05:18
00106720428;PANTOPAN;4;2020-03-15 00:05:37
01891390435;LEXTRASA;1;2020-03-15 00:06:11
01325090429;LEVOFLOXACINA ZENTIVA;1;2020-03-15 00:06:33
02540740426;IRBESARTAN E IDROCLOROTIAZIDE SANDOZ;4;2020-03-15 00:06:34
02528570423;KOLEROS;4;2020-03-15 00:06:43
00171160427;KOLEROS;3;2020-03-15 00:06:46
02006840421;LIPSIN;2;2020-03-15 00:06:53
02806420424;IBITAZINA;5;2020-03-15 00:06:53
02549300420;ESCITALOPRAM ZENTIVA ITALIA;4;2020-03-15 00:06:55
01553010420;ANASTROZOLO SANDOZ;2;2020-03-15 00:06:55
02174000428;CEFIXIMA EUROGENERICI;5;2020-03-15 00:07:01
00026370429;PERINDOPRIL  E AMLODIPINA EUROGENERICI;1;2020-03-15 00:07:49
01018290427;BOSENTAN SUN;1;2020-03-15 00:07:51
00090010422;NOBIZIDE;1;2020-03-15 00:07:51
00735730426;DUOTENS;4;2020-03-15 00:07:56
02537240422;CYMBALTA;3;2020-03-15 00:08:03
02309280416;PREGABALIN ACCORD;1;2020-03-15 00:08:34
02092440425;CLAVOMED;3;2020-03-15 00:09:37
02770160428;ESOMEPRAZOLO DOC;2;2020-03-15 00:09:53
01341060422;OMEPRAZOLO ABC;5;2020-03-15 00:10:01
02354140424;CEFAZIL;4;2020-03-15 00:10:42
00474070422;BIFRIL;2;2020-03-15 00:11:06
00900100421;CLARMAC;4;2020-03-15 00:11:10
02109130423;CLOPIDOGREL LABORATORI EUROGENERICI;3;2020-03-15 00:11:13
00935300426;PIROXICAM DOC;1;2020-03-15 00:11:16
01577000423;LURA;3;2020-03-15 00:11:28
00194530424;SIMVASTATINA ALMUS;5;2020-03-15 00:12:07
02284270424;AZITROMICINA DOC;4;2020-03-15 00:12:59
00162290423;CLOPIDOGREL LABORATORI EUROGENERICI;3;2020-03-15 00:12:59
02552120426;OMEPRAZOLO ALMUS;5;2020-03-15 00:13:02
02813870421;NALAPRES;4;2020-03-15 00:13:28
02462410420;ROSUVASTATINA MYLAN;2;2020-03-15 00:13:44
00375220423;NITISINONE DIPHARMA;4;2020-03-15 00:14:06
01431020427;DORZOLAMIDE MYLAN GENERICS;3;2020-03-15 00:14:12
00172980427;ATENOLOLO EG;1;2020-03-15 00:14:30
00590320420;FLUXIDIN;2;2020-03-15 00:15:36
00936410422;CIPROFLOXACINA DOC GENERICI;4;2020-03-15 00:16:27
02656300429;MONTELUKAST DOC;2;2020-03-15 00:16:38
02531230429;LEVOFLOXACINA EG;5;2020-03-15 00:16:46
00156300428;FLUOXETINA ALMUS;5;2020-03-15 00:17:04
00168260420;AZATIOPRINA ASPEN;4;2020-03-15 00:17:09
02804550420;PULMIST;1;2020-03-15 00:17:21
02769570421;LEVOCETIRIZINA TEVA;2;2020-03-15 00:17:53
00045360427;MEXABREST;4;2020-03-15 00:17:54
00458350428;ERREMAN;1;2020-03-15 00:18:06
01430880425;PENTASA;4;2020-03-15 00:18:07
00011270428;CITALOPRAM DOC GENERICI;2;2020-03-15 00:18:29
02402620427;FURECIS;4;2020-03-15 00:18:42
00446160426;IRBEDIUR;2;2020-03-15 00:19:18
00724440425;MESALAZINA MYLAN GENERICS;5;2020-03-15 00:19:42
01141950426;EZETIMIBE E SIMVASTATINA ALMUS;2;2020-03-15 00:19:56
02450050410;PIOGLITAZONE MYLAN;1;2020-03-15 00:19:58
02490060429;FENDER;4;2020-03-15 00:20:01
01148790429;PANTOPRAZOLO AUROBINDO ITALIA;5;2020-03-15 00:21:07
01574740427;KESTINE;4;2020-03-15 00:21:18
02487090421;ALMARYTM;4;2020-03-15 00:21:56
00176320422;ARIPIPRAZOLO SANDOZ GMBH;1;2020-03-15 00:22:10
01385890429;DEDRALEN;1;2020-03-15 00:22:20
01331160422;ACICLOVIR AUROBINDO PHARMA;1;2020-03-15 00:22:47
02206830420;AMLODIPINA GIT;4;2020-03-15 00:22:48
02077490429;FOSFOMICINA AUROBINDO;3;2020-03-15 00:23:17
01577040429;AZITROMICINA PHARMEG;2;2020-03-15 00:23:29
02808860429;LOSARTAN E IDROCLOROTIAZIDE ZENTIVA ITALIA;4;2020-03-15 00:23:34
00886370428;MIRTAZAPINA EUROGENERICI;3;2020-03-15 00:23:56
02016730422;RILUZOLO SUN;4;2020-03-15 00:23:59
01229120421;ESOMEPRAZOLO DOC GENERICI;5;2020-03-15 00:24:41
01422920429;ZETIA;2;2020-03-15 00:24:42
01573100680;OLANZAPINA PENSA;1;2020-03-15 00:24:54
02550040428;CANDESARTAN ZENTIVA;1;2020-03-15 00:24:58
00155670425;IXILANIA;2;2020-03-15 00:25:14
00097050421;XENAZINA;1;2020-03-15 00:25:22
02537820421;OLMESARTAN MEDOXOMIL E IDROCLOROTIAZIDE PENSA;3;2020-03-15 00:25:29
02263620425;CITALOPRAM SUN PHARMA;5;2020-03-15 00:25:38
01310900426;FEBUXOSTAT EG;1;2020-03-15 00:25:41
02535540427;MIRTAZAPINA MYLAN GENERICS ITALIA;1;2020-03-15 00:25:52
-;COLECALCIFEROLO EG;1;2020-03-15 00:26:03
03664141201;ESCITALOPRAM DOC GENERICI;1;2020-03-15 00:26:04
00886430420;LAMOTRIGINA SANDOZ;2;2020-03-15 00:26:06
01229130420;ZOCOR;4;2020-03-15 00:26:07
02772230427;SUCRALFATO ARISTO;2;2020-03-15 00:26:20
00160090429;PAROXETINA AUROBINDO;2;2020-03-15 00:26:35
01165430420;ACIDO IBANDRONICO EG;1;2020-03-15 00:26:58
02258310792;ENALAPRIL EUROGENERICI;3;2020-03-15 00:27:15
02583700428;NATRILIX;2;2020-03-15 00:27:21
00066360421;ENALAPRIL ARISTO;4;2020-03-15 00:28:03
00516270428;ESOMEPRAZOLO ARISTO;1;2020-03-15 00:28:13
00373590421;VALGANCICLOVIR ACCORD;4;2020-03-15 00:28:22
00106410426;NALAPRES;2;2020-03-15 00:28:24
00433900420;LISINOPRIL PENSA;2;2020-03-15 00:28:32
02404410421;ADESICOR;4;2020-03-15 00:28:39
00032630428;FINASTERIDE DOC;2;2020-03-15 00:28:57
02045340425;AIRCORT;1;2020-03-15 00:29:05
00592060420;SEVELAMER SANDOZ GMBH;3;2020-03-15 00:30:15
01591190424;MEXABREST;3;2020-03-15 00:30:38
02303900423;TADALAFIL DOC GENERICI;4;2020-03-15 00:31:13
01168600425;NEURONTIN;1;2020-03-15 00:31:19
02407620422;PORTEX;1;2020-03-15 00:31:55
01304600420;MIDELUT;2;2020-03-15 00:32:06
02052850423;RILUTEK;5;2020-03-15 00:32:47
01404240416;CEFAZOLINA TEVA;3;2020-03-15 00:33:15
02671260426;RISEDRONATO EG;4;2020-03-15 00:33:34
02803660428;RAGEX;3;2020-03-15 00:34:00
02834420420;DIZATEC;4;2020-03-15 00:34:23
01115500421;KRUXAGON;5;2020-03-15 00:34:24
02174750428;ZITROMAX;1;2020-03-15 00:34:38
02832700427;TULEDUS;5;2020-03-15 00:34:52
02513010427;BISOPROLOLO E IDOCLOROTIAZIDE MYLAN GENERICS;2;2020-03-15 00:34:57
00156670424;MYFORTIC;4;2020-03-15 00:35:05
00736750423;FEBUXEN;2;2020-03-15 00:35:11
02483570426;VENTOLIN;5;2020-03-15 00:35:41
01283660429;PULMAXAN;3;2020-03-15 00:36:02
00135200426;LOSARTAN AUROBINDO;3;2020-03-15 00:36:08
00752170423;TONACAL D3;4;2020-03-15 00:36:14
01177630241;LACIDIPINA EG;5;2020-03-15 00:36:19
02266660428;IRBESARTAN E IDROCLOROTIAZIDE AUROBINDO;2;2020-03-15 00:37:06
02458200421;KYTRIL;2;2020-03-15 00:37:22
00108460429;REMERON;5;2020-03-15 00:38:03
00093530426;ESCITALOPRAM MYLAN;2;2020-03-15 00:38:12
00372590422;GLICLAZIDE;3;2020-03-15 00:38:16
01977970431;PRODUTAL;5;2020-03-15 00:39:27
