PARTITAIVA;FARMACO;QUANTITA;DATA_E_ORA
01341060422;DOSTINEX;2;2020-03-22 00:00:45
01063290421;BICALUTAMIDE AHCL;4;2020-03-22 00:01:02
02691810424;FEVARIN;3;2020-03-22 00:01:03
02715770422;CEFTRIAXONE MYLAN GENERICS;5;2020-03-22 00:01:31
02487090421;TELMISARTAN E IDROCLOROTIAZIDE PENSA;5;2020-03-22 00:01:38
02109130423;KLAIDER;2;2020-03-22 00:01:39
02284270424;PRAVASTATINA EG;4;2020-03-22 00:01:56
02537820421;LEVOFLOXACINA DOC;5;2020-03-22 00:02:02
00097050421;RISPERIDONE AUROBINO PHARMA ITALIA;4;2020-03-22 00:03:03
02536680420;EZETIMIBE MYLAN;2;2020-03-22 00:03:19
00704740422;ARIPIPRAZOLO TEVA ITALIA;1;2020-03-22 00:03:50
00005280425;CEFTRIAXONE ACCORD;5;2020-03-22 00:04:00
02389050424;COLECALCIFEROLO DOC;3;2020-03-22 00:04:43
02516810427;RISEDRONATO EG;5;2020-03-22 00:04:52
02531230429;PIPERACILLINA SODICA;4;2020-03-22 00:05:12
02310740424;LOVASTATINA MYLAN PHARMA;1;2020-03-22 00:05:17
01177630241;ACICLOVIR SUN;5;2020-03-22 00:05:42
02502470426;DORZOLAMIDE MYLAN GENERICS;3;2020-03-22 00:06:07
00162290423;GLICLAZIDE EG LABORATORI EUROGENERICI;4;2020-03-22 00:06:15
02077490429;PRITOR;2;2020-03-22 00:06:17
00936580422;PIOGLITAZONE ACCORD;4;2020-03-22 00:06:37
00900100421;LASER;3;2020-03-22 00:07:04
02808860429;XINAMOD;2;2020-03-22 00:07:15
00724440425;PRAVASTATINA DOC GENERICI;5;2020-03-22 00:07:16
02772230427;ESAPENT;5;2020-03-22 00:07:33
00063480420;IPERTEN;1;2020-03-22 00:07:49
02490060429;TENORETIC;5;2020-03-22 00:08:16
00371300427;CITALOPRAM EG;4;2020-03-22 00:08:22
02174000428;CEFIXIMA DOC GENERICI;4;2020-03-22 00:08:45
00172980427;BREXIN;1;2020-03-22 00:08:52
02462410420;BICALUTAMIDE RATIOPHARM;1;2020-03-22 00:09:03
01261600421;EZETIMIBE E SIMVASTATINA KRKA;1;2020-03-22 00:09:34
02552120426;CALCIO CARBONATO+VITAMINA D3 PENSA;1;2020-03-22 00:09:39
00008080426;PLASIL;4;2020-03-22 00:09:52
00045360427;OLMESARTAN E AMLODIPINA HCS;2;2020-03-22 00:09:58
00135880425;LONGASTATINA;3;2020-03-22 00:10:29
01170410425;DORZOLAMIDE MYLAN GENERICS;4;2020-03-22 00:10:37
00108460429;REQUIP;4;2020-03-22 00:10:53
01385890429;DILTIAZEM EG;4;2020-03-22 00:11:00
01581650429;SERTRALINA ACCORD;3;2020-03-22 00:11:01
02412410421;TICLOPIDINA ALMUS;3;2020-03-22 00:11:16
02458200421;TULEDUS;5;2020-03-22 00:11:52
01492540420;LANSOPRAZOLO FG;1;2020-03-22 00:11:53
00433900420;PIPERTEX;3;2020-03-22 00:12:08
02346020429;RIZATRIPTAN DOC;4;2020-03-22 00:12:11
02832700427;ENALAPRIL SANDOZ;3;2020-03-22 00:12:21
00516270428;LEVOFLOXACINA PENSA PHARMA;4;2020-03-22 00:12:54
02841830421;ADALAT CRONO;3;2020-03-22 00:14:05
02217820428;ZEFFIX;4;2020-03-22 00:14:10
00176320422;BARACLUDE;4;2020-03-22 00:14:13
00168260420;LUCANDIOL;4;2020-03-22 00:14:37
02355240421;GABAPENTIN PENSA;3;2020-03-22 00:15:03
02407620422;PIPERACILLINA E TAZOBACTAM TEVA;5;2020-03-22 00:15:11
02549300420;INDAPAMIDE AUROBINDO;4;2020-03-22 00:15:12
01325090429;CITALOPRAM SANDOZ GMBH;3;2020-03-22 00:15:35
01229120421;ZALASTA;4;2020-03-22 00:16:15
02550040428;FIXODIN;3;2020-03-22 00:16:32
02715180424;CLARITROMICINA SUN PHARMA;5;2020-03-22 00:16:35
02404410421;POTASSIO CANRENOATO SANDOZ;4;2020-03-22 00:16:39
01018290427;BRINZOLAMIDE E TIMOLOLO MYLAN;3;2020-03-22 00:16:45
00090010422;GENALEN;4;2020-03-22 00:17:19
00026370429;NIMESULIDE PENSA;5;2020-03-22 00:17:35
02052850423;RIBOTREX;4;2020-03-22 00:17:37
02484020421;DIURESIX;1;2020-03-22 00:17:47
02658310608;RASABON;4;2020-03-22 00:17:53
02402820423;MANIDIPINA TEVA;5;2020-03-22 00:18:01
01470350669;MIRACLIN;5;2020-03-22 00:18:04
00035600428;METOTHER;2;2020-03-22 00:18:26
00176190429;OLMESARTAN MEDOXOMIL E IDROCLOROTIAZIDE ALTER;5;2020-03-22 00:18:30
02204580423;NATECAL D3;1;2020-03-22 00:18:41
02310080425;ATENOLOLO PENSA;2;2020-03-22 00:19:09
02365710421;SILDENAFIL TEVA ITALIA;2;2020-03-22 00:19:35
00160090429;KOBEY;2;2020-03-22 00:20:16
02206830420;DRONEDARONE ARISTO;2;2020-03-22 00:20:20
01541420426;ALAMUT;1;2020-03-22 00:20:35
02159410428;TADALAFIL SANDOZ;1;2020-03-22 00:21:12
02006840421;SEVELAMER DOC GENERICI;3;2020-03-22 00:21:19
02354850428;ESOMEPRAZOLO ZENTIVA;3;2020-03-22 00:22:23
02354140424;FIXODIN;1;2020-03-22 00:22:47
-;TELMISARTAN E IDROCLOROTIAZIDE ALTER;5;2020-03-22 00:22:49
00205200421;LANSOPRAZOLO MYLAN GENERICS ITALIA;5;2020-03-22 00:22:57
00681310421;ZANTIPRES;1;2020-03-22 00:23:11
02323720421;GABAPENTIN ALTER;2;2020-03-22 00:24:00
02613310420;BRONCOVALEAS;1;2020-03-22 00:24:15
01054480429;NORVASC;5;2020-03-22 00:25:04
01131570424;LODOZ;5;2020-03-22 00:25:24
00093530426;BOSENTAN AUROBINDO;1;2020-03-22 00:25:29
01272100437;ESCITALOPRAM EUROGENERICI;2;2020-03-22 00:25:30
02309280416;ESOMEPRAZOLO PENSA PHARMA;4;2020-03-22 00:25:40
01431020427;LEVOTIROXINA ARISTO;2;2020-03-22 00:26:23
02258310792;KETOPROFENE SALE DI LISINA PHARMEG;3;2020-03-22 00:26:35
02745270427;LATANOPROST MYLAN GENERICS ITALIA;1;2020-03-22 00:27:05
02220640425;AGEMO;1;2020-03-22 00:27:10
02450050410;NEBISCON;2;2020-03-22 00:27:14
01360590424;GABAPENTIN MYLAN GENERICS;2;2020-03-22 00:27:22
00066360421;IVABRADINA DOC GENERICI;4;2020-03-22 00:27:26
00373590421;LYRICA;5;2020-03-22 00:27:29
