PARTITAIVA;FARMACO;QUANTITA;DATA_E_ORA
01304610429;CLARITROMICINA EG;5;2020-03-22 00:00:00
01272100437;MOXONIDINA MYLAN GENERICS;3;2020-03-22 00:00:19
02549300420;COLVER;2;2020-03-22 00:00:30
00590320420;CONFEROPORT;2;2020-03-22 00:00:58
02395430420;EPLERENONE TECNIGEN;4;2020-03-22 00:01:01
02483570426;CALCIUM D3 SANDOZ;2;2020-03-22 00:01:01
00936580422;RISPERIDONE MYLAN GENERICS;4;2020-03-22 00:01:26
00681310421;ESOMEPRAZOLO EG;1;2020-03-22 00:02:31
03664141201;SOLIAN;3;2020-03-22 00:02:31
00714980422;CLEVER;4;2020-03-22 00:02:45
02603280427;OLEVIA;2;2020-03-22 00:02:50
02513010427;AZAFOR;4;2020-03-22 00:02:54
02722250426;LASTAFRY;1;2020-03-22 00:02:57
00108460429;CORIPREN;4;2020-03-22 00:03:09
-;PRADIF;1;2020-03-22 00:03:10
02450050410;PERINDOPRIL E INDAPAMIDE KRKA;2;2020-03-22 00:03:15
02535540427;PRAMIPEXOLO EG;5;2020-03-22 00:03:47
02354140424;DUTASTERIDE PENSA;2;2020-03-22 00:03:59
00063480420;QUETAMED;2;2020-03-22 00:04:08
00179910427;NEOLOTAN PLUS;3;2020-03-22 00:04:21
00724440425;DESLORATADINA EG;2;2020-03-22 00:04:24
02531230429;ANNISTER;2;2020-03-22 00:04:53
01131570424;ZYLLT;4;2020-03-22 00:05:29
02206830420;SILODOSINA EG;4;2020-03-22 00:05:42
02284270424;CEFTRIAXONE GIT;2;2020-03-22 00:05:43
01573100680;GABAPENTIN TECNIGEN;2;2020-03-22 00:05:58
02681060428;VENLAFAXINA TEVA;5;2020-03-22 00:06:00
02772230427;ATROPINA SOLFATO;2;2020-03-22 00:06:16
00106410426;PRIZITEC;1;2020-03-22 00:06:34
00167310424;BOSENTAN MEDAC;1;2020-03-22 00:06:56
02810370425;RAMIPRIL E AMLODIPINA KRKA;3;2020-03-22 00:07:07
02365710421;LORATADINA HEXAL;3;2020-03-22 00:07:22
02540740426;FEMARA;1;2020-03-22 00:07:27
02355240421;TRACLEER;4;2020-03-22 00:08:07
00066360421;DORYX;2;2020-03-22 00:08:30
02552120426;LOZID;3;2020-03-22 00:08:32
01577000423;SALMETEROLO E FLUTICASONE DOC;5;2020-03-22 00:08:35
02006840421;BRINUS;3;2020-03-22 00:09:01
01430880425;BRIMONIDINA E TIMOLOLO EG;3;2020-03-22 00:09:32
00045190428;GENERFLON;3;2020-03-22 00:09:39
02364740429;ACIDO ALENDRONICO ALTER;5;2020-03-22 00:09:44
02159410428;TICLOPIDINA TECNIGEN;3;2020-03-22 00:09:58
00090010422;VENLAFAXINA ALTER;2;2020-03-22 00:10:04
02528570423;OLANZAPINA ZENTIVA;5;2020-03-22 00:10:40
01385890429;RAMIPRIL IDROCLOROTIAZIDE HEXAL;3;2020-03-22 00:11:01
00886430420;TOPIRAMATO SANDOZ;1;2020-03-22 00:11:02
01141950426;TEDIM;2;2020-03-22 00:11:14
10166250968;OMEPRAZOLO TECNIGEN;5;2020-03-22 00:11:21
01283660429;CEFTRIAXONE SANDOZ;4;2020-03-22 00:11:24
02204580423;REPAGLINIDE ZENTIVA;5;2020-03-22 00:11:35
02090370426;MONTELUKAST TEVA ITALIA;2;2020-03-22 00:12:20
01099500421;TAMSULOSINA HEXAL;2;2020-03-22 00:12:30
01577040429;SALMETEROLO FLUTICASONE SF;2;2020-03-22 00:13:02
02266660428;FEMSEVEN;1;2020-03-22 00:13:05
02715770422;FEBUXOSTAT ACCORD;1;2020-03-22 00:14:21
01574740427;TERAZOSINA DOC GENERICI;1;2020-03-22 00:14:33
00176320422;POSACONAZOLO AHCL;2;2020-03-22 00:14:58
01502950429;IDROTENS;1;2020-03-22 00:15:03
00332510429;CITALOPRAM RATIOPHARM;2;2020-03-22 00:15:17
02309280416;SYNFLEX;1;2020-03-22 00:15:25
02016730422;MIRTAZAPINA TEVA ITALIA;3;2020-03-22 00:15:35
00177570439;CETIRIZINA MYLAN GENERICS;1;2020-03-22 00:15:43
01165430420;BISOPROLOLO ZENTIVA;4;2020-03-22 00:15:48
02402820423;ATORVASTATINA EG;1;2020-03-22 00:15:50
01177630241;GALAXIA;1;2020-03-22 00:15:51
00935300426;ESOMEPRAZOLO KRKA;4;2020-03-22 00:16:11
00992560425;ESIDREX;3;2020-03-22 00:16:13
01404240416;RASAGILINA DOC GENERICI;5;2020-03-22 00:16:22
00458350428;AIRTAL;2;2020-03-22 00:16:51
02809570423;LISINOPRIL IDROCLOROTIAZIDE DOC GENERICI;2;2020-03-22 00:17:03
02583700428;CORDARONE;4;2020-03-22 00:17:11
02745270427;CLARMAC;3;2020-03-22 00:17:19
00371300427;PRAVASELECT;5;2020-03-22 00:18:02
00106720428;ROSUVASTATINA SUN;3;2020-03-22 00:18:05
01018290427;FOSINOPRIL TEVA;3;2020-03-22 00:18:19
01525290423;LATANOPROST AUROBINDO;2;2020-03-22 00:18:37
02516810427;QUETAMED;4;2020-03-22 00:18:42
01591190424;FLUVASTATINA AUROBINDO;5;2020-03-22 00:19:38
00205200421;CEFAZIL;3;2020-03-22 00:19:51
01008100420;ATORVASTATINA EG;1;2020-03-22 00:20:07
00156670424;CLOZAPINA CHIESI;1;2020-03-22 00:20:10
00176190429;DONEPEZIL AUROBINDO;5;2020-03-22 00:20:11
01170410425;PRAMIPEXOLO MYLAN PHARMA;4;2020-03-22 00:20:44
02404410421;MIRTAZAPINA ALTER;3;2020-03-22 00:20:54
00516270428;BUDINEB;1;2020-03-22 00:20:55
00433900420;FLOGOFENAC;4;2020-03-22 00:21:12
01054480429;ESOMEPRAZOLO AUROBINDO;4;2020-03-22 00:21:31
02487090421;GABAPENTIN SUN;1;2020-03-22 00:21:47
00172980427;MONTELUKAST AHCL;4;2020-03-22 00:22:03
00008080426;PRETERAX;1;2020-03-22 00:22:38
00005280425;SLOWMET;2;2020-03-22 00:22:45
01553010420;LACIREX;1;2020-03-22 00:23:04
01327200422;DUTASTERIDE GERMED;4;2020-03-22 00:23:36
02834420420;FEVARIN;5;2020-03-22 00:23:52
02658310608;PERINDOPRIL E AMLODIPINA HCS;3;2020-03-22 00:24:22
02269580425;ZARIVIZ;5;2020-03-22 00:24:22
02092440425;DORYX;4;2020-03-22 00:24:35
00373590421;CANDESARTAN E IDROCLOROTIAZIDE MYLAN;4;2020-03-22 00:24:36
02537240422;QUETIAPINA EG;4;2020-03-22 00:25:04
00194530424;TAMLIC;4;2020-03-22 00:25:20
02671260426;EPLERENONE TECNIGEN;1;2020-03-22 00:25:20
00752170423;RAMIPRIL ACCORD;3;2020-03-22 00:25:54
01891390435;CACIT VITAMINA D3;3;2020-03-22 00:26:12
02537820421;ROSUVASTATINA TEVA ITALIA;1;2020-03-22 00:26:28
02389050424;RABEPRAZOLO EUROGENERICI;3;2020-03-22 00:26:30
02420690428;ARGONAL;3;2020-03-22 00:26:43
02484020421;FLUVOXAMINA EG;4;2020-03-22 00:26:52
00887830420;BRIMOFTAL;1;2020-03-22 00:27:24
02067420428;DORYX;1;2020-03-22 00:27:31
02174750428;LANSOPRAZOLO ZENTIVA;4;2020-03-22 00:27:40
00592060420;RENVELA;4;2020-03-22 00:27:44
01310900426;PRONTINAL;4;2020-03-22 00:28:12
02303900423;QUETIAPINA ACCORD;2;2020-03-22 00:28:21
01304600420;FROVATRIPTAN SANDOZ;1;2020-03-22 00:28:36
01470350669;STAMIDIX;2;2020-03-22 00:28:40
00372590422;GLICLAZIDE SANDOZ;2;2020-03-22 00:28:45
02715180424;FROVATRIPTAN MYLAN;4;2020-03-22 00:29:35
02310080425;CRINOZOL;3;2020-03-22 00:29:49
02286900424;OLMESARTAN E AMLODIPINA DOC;4;2020-03-22 00:30:48
02045340425;TADALAFIL ACCORD;5;2020-03-22 00:30:54
02346030428;AMIODARONE MYLAN;1;2020-03-22 00:31:02
00162290423;BROKAST;4;2020-03-22 00:31:11
02769570421;GENERIT;1;2020-03-22 00:31:15
01581650429;ZALASTA;2;2020-03-22 00:31:22
00035600428;BLUMIRTAX;3;2020-03-22 00:31:23
00123220428;AMOXICILLINA MYLAN GENERICS;2;2020-03-22 00:31:43
02082790425;CEFTRIAXONE RATIOPHARM;3;2020-03-22 00:31:51
00094720422;GLUBRAVA;3;2020-03-22 00:32:06
00805240421;STARCEF;2;2020-03-22 00:32:40
02258310792;ATORVASTATINA GENETIC;4;2020-03-22 00:33:06
01541420426;INDAPAMIDE MYLAN GENERICS ITALIA;2;2020-03-22 00:33:43
02542140427;TORASEMIDE TEVA ITALIA;4;2020-03-22 00:33:44
01063290421;IGROSELES;2;2020-03-22 00:34:06
00032630428;NITRODERM TTS;2;2020-03-22 00:34:06
01492540420;SUMATRIPTAN EG;2;2020-03-22 00:35:10
01229130420;IFIRMASTA;2;2020-03-22 00:35:44
02550040428;CLARITROMICINA EG;5;2020-03-22 00:35:53
00474070422;PERINDOPRIL INDAPAMIDE RATIOPHARM;5;2020-03-22 00:35:56
01148790429;MEGACE;3;2020-03-22 00:36:13
01115500421;CARVEDILOLO RATIOPHARM;5;2020-03-22 00:36:24
02374750428;BIMADOC;1;2020-03-22 00:36:28
02323720421;SPIRAMICINA MYLAN GENERICS;5;2020-03-22 00:37:29
02832700427;DRAMION;2;2020-03-22 00:37:40
02217820428;CARVEDILOLO PENSA;3;2020-03-22 00:37:44
02412410421;PAROXETINA SUN;5;2020-03-22 00:38:07
02421410420;SEVELAMER EG;3;2020-03-22 00:38:57
00387550429;ERISTROL;1;2020-03-22 00:39:08
00992280420;PREDNISONE TEVA;3;2020-03-22 00:39:34
00735730426;PREGABALIN SANDOZ;1;2020-03-22 00:39:59
01229120421;CELLCEPT;3;2020-03-22 00:40:28
00660470428;DOXAZOSIN RATIOPHARM;2;2020-03-22 00:40:45
02770160428;TRANEX;3;2020-03-22 00:41:02
02809180421;LIRGOSIN;5;2020-03-22 00:41:03
01341060422;TELMISARTAN DOC GENERICI;1;2020-03-22 00:41:43
02813870421;DUTASTERIDE GERMED;1;2020-03-22 00:41:59
00446160426;SOTALOLO TEVA;2;2020-03-22 00:42:45
02354850428;AZATIOPRINA HEXAL;4;2020-03-22 00:42:47
00170060420;APPRYO;1;2020-03-22 00:43:28
02502470426;CEFTRIAXONE ALMUS;2;2020-03-22 00:43:38
02808860429;ALMOTRIPTAN TEVA ITALIA;3;2020-03-22 00:44:26
02490060429;KETOPROFENE SALE DI LISINA PENSA;1;2020-03-22 00:44:58
02298560422;PIPERACILLINA E TAZOBACTAM AUROBINDO;1;2020-03-22 00:45:14
00168260420;ATORVASTATINA SANDOZ;3;2020-03-22 00:45:27
02077490429;PIOGLITAZONE ZENTIVA;2;2020-03-22 00:45:49
00135200426;CLAVOMED;4;2020-03-22 00:45:55
02721500425;CALCIO CARBONATO E VITAMINA D3 DOC GENERICI;3;2020-03-22 00:46:13
02613310420;FOSINOPRIL AUROBINDO;3;2020-03-22 00:46:18
02536680420;DIAXONE;2;2020-03-22 00:46:44
02401720426;FOSAVANCE;5;2020-03-22 00:47:01
00156300428;TAMSULOSINA ARISTO;1;2020-03-22 00:47:04
01261600421;GLICLAZIDE MYLAN GENERICS ITALIA;2;2020-03-22 00:47:26
00128350428;NATRILIX;1;2020-03-22 00:47:33
02346020429;CINACALCET TILLOMED;1;2020-03-22 00:47:41
02631650427;LEVOCETIRIZINA PENSA;5;2020-03-22 00:47:56
02310740424;LOSARTAN E IDROCLOROTIAZIDE DOC;5;2020-03-22 00:48:11
01422920429;MILLIBAR;5;2020-03-22 00:48:11
02263620425;ENALAPRIL E LERCANIDIPINA EG;2;2020-03-22 00:48:15
02691810424;PIOGLITAZONE E METFORMINA ARISTO;3;2020-03-22 00:48:23
02803660428;CLARITROMICINA SUN PHARMA;2;2020-03-22 00:48:33
00011270428;NEBIVOLOLO TECNIGEN;5;2020-03-22 00:48:37
02407620422;PARACALCITOLO MYLAN;1;2020-03-22 00:48:45
02656300429;IOPIZE;5;2020-03-22 00:48:54
01168600425;FERRO COMPLEX;3;2020-03-22 00:48:58
01325090429;MICOFENOLATO MOFETILE SANDOZ;4;2020-03-22 00:49:17
00817700420;ESOMEPRAZOLO DOC GENERICS;4;2020-03-22 00:49:22
02220640425;VECLAM;5;2020-03-22 00:49:53
02632970428;RATACAND;3;2020-03-22 00:50:11
01977970431;ACIDO IBANDRONICO ALTER;4;2020-03-22 00:50:34
01189020066;PRAVASTATINA ALMUS;5;2020-03-22 00:50:39
00109450429;CIPROFLOXACINA TECNIGEN;1;2020-03-22 00:50:49
01331160422;FOSINOPRIL ZENTIVA;1;2020-03-22 00:51:14
02402620427;MELOXICAM HEXAL;5;2020-03-22 00:51:15
00886370428;FUROSEMIDE DOC GENERICI;4;2020-03-22 00:51:21
02804550420;FLUVOXAMINA EG;4;2020-03-22 00:51:22
01360590424;RAGEX;1;2020-03-22 00:51:23
02462410420;LORATADINA HEXAL;3;2020-03-22 00:51:44
02841830421;CARVEDILOLO EG;5;2020-03-22 00:51:47
00736750423;ALENDRONATO SANDOZ GMBH;5;2020-03-22 00:51:51
00900100421;NIFEDIPINA DOC;2;2020-03-22 00:52:07
00160090429;RUPATADINA TEVA;3;2020-03-22 00:52:29
00936410422;SEROPRAM;5;2020-03-22 00:52:50
01163790429;BISOPROLOLO AHCL;1;2020-03-22 00:53:22
00097050421;VERAPAMIL DOC GENERICI;3;2020-03-22 00:53:46
02174000428;AMLODIPINA BLUEFISH;1;2020-03-22 00:54:14
02458200421;GRIFOXINA;4;2020-03-22 00:54:46
00155670425;LEVETIRACETAM RATIOPHARM;3;2020-03-22 00:54:59
00838020428;FINASTERIDE AUROBINDO;5;2020-03-22 00:55:27
02109130423;FLUVASTATINA DOC GENERICI;2;2020-03-22 00:56:15
01258500428;ACICLIN;3;2020-03-22 00:56:28
00155510423;LOPRIDAM;2;2020-03-22 00:56:28
01327770424;DIAMEL;2;2020-03-22 00:56:31
02536700426;CITALOPRAM AUROBINDO;5;2020-03-22 00:56:37
00135880425;BRINZAFLUX;5;2020-03-22 00:57:18
00093530426;CIPROFLOXACINA RATIOPHARM;5;2020-03-22 00:57:26
00026370429;PAROXETINA DOC GENERICI;4;2020-03-22 00:57:28
02806420424;IRBESARTAN E IDROCLOROTIAZIDE EG;1;2020-03-22 00:57:38
00171160427;FOLIFILL;5;2020-03-22 00:58:11
01431020427;SAMBETAN;4;2020-03-22 00:58:46
00704740422;ESOMEPRAZOLO ALTER;2;2020-03-22 00:59:16
02052850423;FROVATRIPTAN MYLAN;4;2020-03-22 00:59:17
00375220423;HEADZOL;4;2020-03-22 00:59:21
00045360427;LOSEC;1;2020-03-22 00:59:24
02540740426;ATORVASTATINA ACCORD;4;2020-03-22 01:00:21
02490060429;ZITROMAX;1;2020-03-22 01:00:21
01430880425;TORVAST;3;2020-03-22 01:00:54
02537820421;ZOCOR;2;2020-03-22 01:01:15
00026370429;PIOGLITAZONE E METFORMINA DOCGEN;1;2020-03-22 01:01:16
01574740427;OLMESARTAN MEDOXOMIL E IDROCLOROTIAZIDE HCS;1;2020-03-22 01:01:50
00155670425;VASTGEN;1;2020-03-22 01:02:00
02052850423;SIMVASTATINA SUN;1;2020-03-22 01:02:00
00900100421;SIMVASTATINA PENSA;4;2020-03-22 01:02:05
02528570423;BOTAM;1;2020-03-22 01:02:27
01304610429;LOSFERRON;3;2020-03-22 01:02:42
02550040428;APONIL;4;2020-03-22 01:02:43
02412410421;OLANZAPINA ZENTIVA;2;2020-03-22 01:03:12
00168260420;LEVOFLOXACINA SUN;3;2020-03-22 01:03:22
00838020428;URSOLISIN;3;2020-03-22 01:03:39
01163790429;PIOGLITAZONE E METFORMINA EG;4;2020-03-22 01:03:42
02804550420;NITROGLICERINA DOC GENERICI;4;2020-03-22 01:04:26
10166250968;MICOFENOLATO MOFETILE TILLOMED;3;2020-03-22 01:05:09
02613310420;SOTALOLO MYLAN GENERICS;3;2020-03-22 01:05:15
01591190424;CIPROFLOXACINA PENSA;5;2020-03-22 01:05:39
02263620425;GENERIT;3;2020-03-22 01:06:55
01341060422;RISPERIDONE SANDOZ;1;2020-03-22 01:07:03
02109130423;RAMIPRIL ALMUS;2;2020-03-22 01:07:09
02772230427;LEVETIRACETAM ZENTIVA;5;2020-03-22 01:07:13
00590320420;REPAGLINIDE MYLAN GENERICS;2;2020-03-22 01:07:20
02421410420;PANACEF;1;2020-03-22 01:07:45
01258500428;PANTECTA;1;2020-03-22 01:07:49
01229130420;LIORESAL;3;2020-03-22 01:08:01
02450050410;CARVEDILOLO DOC GENERICI;5;2020-03-22 01:08:12
02286900424;SEVELAMER EUROGENERICI;5;2020-03-22 01:08:37
02806420424;CINACALCET AUROBINDO;2;2020-03-22 01:08:43
02174750428;MOXIFLOXACINA TEVA;1;2020-03-22 01:09:28
01141950426;FEMARA;5;2020-03-22 01:09:45
02404410421;BRIMONIDINA E TIMOLOLO EG;3;2020-03-22 01:10:16
02266660428;CLEVER;2;2020-03-22 01:10:19
02458200421;ATENOLOLO DOC GENERICI;3;2020-03-22 01:10:42
02364740429;SIMVASTATINA GIT;4;2020-03-22 01:11:01
00135200426;NIMESULIDE;1;2020-03-22 01:11:10
00094720422;BUDEXAN;5;2020-03-22 01:11:15
02374750428;PARACETAMOLO CODEINA TEVA;5;2020-03-22 01:12:37
02484020421;LINEZOLID KRKA D.D.;4;2020-03-22 01:12:43
01063290421;OMEGA 3 DOC GENERICI;3;2020-03-22 01:12:54
00714980422;FEBUXOSTAT AUROBINDO;2;2020-03-22 01:13:31
01327770424;IALUTIM;2;2020-03-22 01:13:59
01577000423;LORTAAN;4;2020-03-22 01:14:00
02722250426;EZETROL;1;2020-03-22 01:14:32
00735730426;ACIDO FOLICO DOC GENERICI;3;2020-03-22 01:15:00
02310740424;AMOXICILLINA ACIDO CLAVULANICO P-CARE;4;2020-03-22 01:15:01
00011270428;NITROGLICERINA DOC GENERICI;3;2020-03-22 01:15:22
02603280427;VENLAFAXINA EG LABORATORI EUROGENERICI;4;2020-03-22 01:15:52
02658310608;CIQORIN;4;2020-03-22 01:15:55
00371300427;CLARITYN;5;2020-03-22 01:16:15
02067420428;FLUCONAZOLO ZENTIVA;2;2020-03-22 01:16:52
02401720426;ALENDRONATO E COLECALCIFEROLO TEVA ITALIA;4;2020-03-22 01:16:54
01525290423;REMINYL;5;2020-03-22 01:17:17
02365710421;METOTHER;1;2020-03-22 01:17:55
00155510423;CALCIO CARBONATO;4;2020-03-22 01:18:06
02045340425;PANTOPRAZOLO PENSA;1;2020-03-22 01:18:24
00045360427;DONEPEZIL SUN;4;2020-03-22 01:18:38
02691810424;DONEPEZIL ALMUS;3;2020-03-22 01:18:44
02813870421;ATORVASTATINA ZENTIVA ITALIA;5;2020-03-22 01:18:59
00704740422;FENOFIBRATO DOC GENERICI;1;2020-03-22 01:19:39
02810370425;BRINZOLAMIDE SANDOZ;3;2020-03-22 01:19:48
01131570424;GLICLAZIDE TEVA;2;2020-03-22 01:19:51
02537240422;REUMAGIL;1;2020-03-22 01:19:59
00109450429;CLODRONATO ABC;5;2020-03-22 01:20:16
